year,mean_C_degC,max_C_degC,min_C_degC
100,-39.84909340877505,49.371506238414725,-129.06976567292116
200,-39.849093463440596,49.391852451653676,-129.09011227000315
300,-39.84909351753632,49.4122750333928,-129.1105352315617
400,-39.849093571049934,49.43277317738398,-129.1310337513332
500,-39.849093623993696,49.45334607439486,-129.15160702007122
600,-39.849093676356944,49.47399291224315,-129.17225422557811
700,-39.849093728139025,49.49471287582651,-129.19297455273755
800,-39.84909377934136,49.51550514715723,-129.21376718354665
900,-39.849093829927,49.5363689053915,-129.23463129714833
1000,-39.84909387996984,49.55730332686352,-129.25556606986277
1100,-39.849093929406166,49.57830758511892,-129.27657067522057
1200,-39.84909397823344,49.59938085094518,-129.29764428399668
1300,-39.849094026497625,49.62052229240538,-129.31878606424067
1400,-39.84909407414298,49.64173107487284,-129.33999518131202
1500,-39.849094121211266,49.6630063610603,-129.36127079790933
1600,-39.84909416764833,49.68434731105526,-129.3826120741087
1700,-39.849094213513666,49.705753082354306,-129.40401816739387
1800,-39.84909425877936,49.72722282989491,-129.42548823268746
1900,-39.84909430340841,49.74875570608674,-129.44702142238876
2000,-39.84909434746035,49.77035086084936,-129.4686168864051
2100,-39.8490943908956,49.792007441644046,-129.49027377218297
2200,-39.84909443371262,49.81372459350422,-129.51199122474642
2300,-39.849094475935544,49.83550145907492,-129.53376838672835
2400,-39.84909451753663,49.857337178643434,-129.55560439840218
2500,-39.849094558514565,49.87923089017153,-129.57749839772026
2600,-39.84909459889343,49.90118172933359,-129.59944952034587
2700,-39.84909463865745,49.923188829547314,-129.62145689968224
2800,-39.84909467781395,49.9452513220117,-129.64351966692294
2900,-39.84909471630206,49.96736833573647,-129.665636951062
3000,-39.84909475417791,49.98953899757976,-129.6878078789486
3100,-39.849094791433146,50.0117624322819,-129.71003157531243
3200,-39.84909482809647,50.03403776250144,-129.73230716280005
3300,-39.84909486410933,50.05636410884307,-129.75463376200938
3400,-39.84909489951747,50.07874058990245,-129.77701049152628
3500,-39.849094934248484,50.1011663222946,-129.7994364679523
3600,-39.84909496835857,50.123640420689924,-129.82191080594998
3700,-39.84909500183963,50.14616199784945,-129.84443261827101
3800,-39.84909503472045,50.168730164661724,-129.86700101579274
3900,-39.84909506694268,50.191344030170626,-129.88961510755354
4000,-39.8490950985522,50.2140027016211,-129.91227400078958
4100,-39.849095129466605,50.236705284487755,-129.9349768009629
4200,-39.84909515977222,50.25945088251143,-129.9577226118076
4300,-39.84909518946529,50.282238597734874,-129.98051053535815
4400,-39.8490952184699,50.305067530539986,-130.0033396719862
4500,-39.84909524685568,50.32793677967578,-130.02620912043662
4600,-39.84909527458788,50.350845442305456,-130.04911797786463
4700,-39.849095301685566,50.37379261403407,-130.07206533986394
4800,-39.84909532814743,50.39677738894676,-130.0950503005139
4900,-39.84909535397654,50.419798859643834,-130.1180719524076
5000,-39.849095379110736,50.44285611727912,-130.14112938668967
5100,-39.84909540361977,50.46594825158746,-130.1642216930921
5200,-39.84909542746894,50.48907435093304,-130.18734795997213
5300,-39.84909545062317,50.51223350234102,-130.21050727434226
5400,-39.84909547318031,50.5354247915198,-130.23369872191063
5500,-39.849095495140205,50.55864730292103,-130.25692138712466
5600,-39.84909551639177,50.58190011975955,-130.28017435318498
5700,-39.84909553706356,50.60518232405411,-130.30345670210846
5800,-39.84909555700605,50.62849299666311,-130.3267675147478
5900,-39.84909557629237,50.651831217325366,-130.35010587083204
6000,-39.84909559492266,50.67519606467937,-130.37347084900284
6100,-39.849095612820264,50.6985866163252,-130.3968615268509
6200,-39.84909563013528,50.722001948844024,-130.42027698095225
6300,-39.84909564673683,50.74544113783844,-130.4437162869049
6400,-39.84909566273407,50.7689032579695,-130.4671785193652
6500,-39.849095678119824,50.79238738299284,-130.49066275208435
6600,-39.84909569274916,50.81589258579544,-130.51416805794508
6700,-39.84909570681995,50.83941793843218,-130.5376935089981
6800,-39.84909572017446,50.86296251216231,-130.56123817650357
6900,-39.84909573294101,50.886525377486464,-130.58480113094913
7000,-39.84909574497033,50.91010560418306,-130.60838144211422
7100,-39.849095756336084,50.933702261349765,-130.6319781790886
7200,-39.849095767038676,50.957314417421685,-130.65559041031344
7300,-39.84909577700151,50.98094114023587,-130.67921720361832
7400,-39.84909578637564,51.0045814970498,-130.70285762625787
7500,-39.84909579502994,51.02823455458281,-130.72651074494868
7600,-39.849095803074164,51.05189937905254,-130.75017562590614
7700,-39.84909581050161,51.07557503621223,-130.77385133488124
7800,-39.849095817167125,51.09926059138752,-130.7975369371976
7900,-39.84909582326932,51.12295510951327,-130.82123149778812
8000,-39.84909582865066,51.14665765517043,-130.84493408123714
8100,-39.84909583343986,51.170367292623155,-130.8686437517973
8200,-39.84909583746048,51.19408308585554,-130.8923595734564
8300,-39.84909584081308,51.21780409861361,-130.91608060995435
8400,-39.84909584355444,51.2415293944224,-130.93980592482527
8500,-39.849095845601454,51.26525803665288,-130.96353458143435
8600,-39.84909584698133,51.28898908853898,-130.98726564301487
8700,-39.84909584767448,51.31272161321925,-131.01099817270511
8800,-39.849095847616695,51.33645467377437,-131.03473123358552
8900,-39.84909584699503,51.36018733326364,-131.0584638887154
9000,-39.849095845706216,51.3839186547624,-131.08219520117024
9100,-39.84909584385335,51.407647701398616,-131.1059242340784
9200,-39.84909584125168,51.431373536390254,-131.12965005066368
9300,-39.84909583796181,51.455095223081855,-131.15337171426077
9400,-39.849095834005055,51.47881182498202,-131.17708828838434
9500,-39.84909582935367,51.50252240579971,-131.20079883674467
9600,-39.849095824090654,51.526226029487475,-131.22450242328986
9700,-39.84909581813454,51.54992176025576,-131.24819811224293
9800,-39.849095811512456,51.57360866264321,-131.2718849681387
9900,-39.84909580425267,51.597285801531484,-131.2955620558606
10000,-39.84909579614782,51.62095224218757,-131.31922844067773
10100,-39.84909578752922,51.64460705030109,-131.3428831882818
10200,-39.849095778245896,51.66824929202062,-131.36652536482381
10300,-39.8490957684013,51.69187803399092,-131.3901540369512
10400,-39.849095757810886,51.71549234338971,-131.41376827185016
10500,-39.84909574641185,51.739091287964584,-131.43736713725963
10600,-39.84909573447044,51.762673936075316,-131.46094970153675
10700,-39.849095721871635,51.786239356702026,-131.4845150336997
10800,-39.849095708605205,51.80978661954549,-131.50806220340618
10900,-39.8490956947783,51.833314794976616,-131.53159028107774
11000,-39.849095680094166,51.856822954167,-131.55509833785442
11100,-39.8490956651527,51.88031016903096,-131.57858544566648
11200,-39.84909564888514,51.90377551235741,-131.60205067730692
11300,-39.84909563267922,51.92721805775068,-131.62549310638462
11400,-39.849095615093375,51.950636879763465,-131.64891180745673
11500,-39.84909559756815,51.97403105384865,-131.6723058559688
11600,-39.84909557866965,51.99739965643198,-131.69567432838818
11700,-39.84909555983063,52.0207417649857,-131.71901630214313
11800,-39.84909553967614,52.044056457978456,-131.74233085575716
11900,-39.84909551916533,52.0673428150111,-131.76561706878675
12000,-39.84909549800602,52.09059991675315,-131.78887402195707
12100,-39.84909547618747,52.113826845079075,-131.81210079709837
12200,-39.84909545402698,52.13702268300432,-131.83529647728247
12300,-39.849095430545816,52.160186514822215,-131.85846014677114
12400,-39.84909540713684,52.18331742603891,-131.88159089108953
12500,-39.8490953823549,52.20641450351127,-131.904687797101
12600,-39.849095357644615,52.229476835393484,-131.9277499529536
12700,-39.849095331568805,52.25250351121099,-131.9507764482187
12800,-39.84909530556402,52.27549362193622,-131.97376637382376
12900,-39.84909527825221,52.29844625993286,-131.99671882219195
13000,-39.849095250692244,52.32136051909612,-132.0196328871737
13100,-39.84909522229995,52.344235494784016,-132.0425076641873
13200,-39.84909519335653,52.36707028395824,-132.06534225014926
13300,-39.84909516377772,52.38986398511372,-132.0881357436158
13400,-39.84909513355265,52.41261569842095,-132.11088724471213
13500,-39.84909510300045,52.435324525654266,-132.1335958552748
13600,-39.84909507113886,52.4579895703352,-132.1562606787933
13700,-39.849095039366375,52.48060993765938,-132.1788808204856
13800,-39.84909500623294,52.50318473464074,-132.2014553873745
13900,-39.849094973188215,52.525713070051324,-132.22398348822733
14000,-39.849094938790955,52.54819405449712,-132.2464642337008
14100,-39.849094904482484,52.57062680049506,-132.2688967362659
14200,-39.84909486888094,52.593010422411055,-132.29128011035357
14300,-39.84909483295061,52.61534403660579,-132.31361347227872
14400,-39.849094796399555,52.63762676135849,-132.3358959403864
14500,-39.84909475921643,52.65985771701338,-132.35812663497484
14600,-39.84909472172208,52.68203602590222,-132.3803046784425
14700,-39.84909468293145,52.70416081249169,-132.40242919522413
14800,-39.84909464424712,52.726231203304735,-132.42449931186738
14900,-39.84909460421548,52.74824632706844,-132.44651415711036
15000,-39.84909456423523,52.77020531464939,-132.468472861816
15100,-39.84909452302716,52.79210729912984,-132.4903745591211
15200,-39.84909448187071,52.813951415885754,-132.51221838435518
15300,-39.8490944393792,52.83573680251982,-132.53400347519047
15400,-39.84909439690125,52.8574625990114,-132.55572897155972
15500,-39.84909435334211,52.87912794763412,-132.57739401580685
15600,-39.84909430937839,52.90073199310632,-132.59899775260357
15700,-39.849094264814966,52.92227388250785,-132.62053932910084
15800,-39.84909421964008,52.9437527654315,-132.6420178948445
15900,-39.849094174176486,52.96516779389782,-132.66343260192738
16000,-39.84909412743616,52.986518122508244,-132.68478260491852
16100,-39.84909408082629,53.007802908358144,-132.7060670609414
16200,-39.84909403288896,53.02902131119089,-132.72728512975218
16300,-39.849093985082874,53.05017249332519,-132.7484359736676
16400,-39.849093935959644,53.07125561973339,-132.76951875771894
