year,mean_C_degC,max_C_degC,min_C_degC
100,38.710623087676765,43.20305912507939,34.217881267647726
200,38.71062239047859,43.21959427783702,34.2013293192465
300,38.71062154571217,43.23276451922544,34.188142226757975
400,38.710620554008415,43.242560021116674,34.178329830885104
500,38.71061941610691,43.24897347374008,34.1718994540052
600,38.71061813285718,43.25200009113735,34.168855894706496
700,38.71061670521675,43.251637614733,34.169201424207074
800,38.71061513424996,43.24788631502037,34.172935784659785
900,38.71061342113228,43.24074899135991,34.18005618934484
1000,38.71061156713819,43.23023096989033,34.19055732474976
1100,38.71060957365239,43.21634009955227,34.204431354533654
1200,38.710607442164644,43.19908674623554,34.221667925375584
1300,38.71060517426332,43.1784837850376,34.24225417470035
1400,38.710602771641504,43.15454659066046,34.26617474027722
1500,38.71060023609158,43.12729302593681,34.29341177168283
1600,38.71059756950575,43.09828656716792,34.32272292048117
1700,38.7105947738753,43.128678273779485,34.29231478347799
1800,38.71059185128445,43.15577291394908,34.26520360562262
1900,38.7105888039157,43.17955026864291,34.24140961829568
2000,38.71058563404364,43.19999259430915,34.220950577460314
2100,38.710582344031195,43.21708463611657,34.203841750418405
2200,38.71057893633582,43.230813639342216,34.19009590441948
2300,38.71057541349916,43.241169358890545,34.179723297129385
2400,38.71057177814936,43.248144066936106,34.17273166897547
2500,38.71056803300252,43.251732558689184,34.16912623737255
2600,38.7105641808505,43.25193215628349,34.168909692829175
2700,38.71056022456736,43.24874271077175,34.17208219693924
2800,38.71055616710811,43.24216660223834,34.17864138226008
2900,38.71055201149903,43.23220873801864,34.18858235408362
3000,38.71054776084395,43.21887654904941,34.201897694081424
3100,38.71054341830859,43.20217998430513,34.218577465851354
3200,38.71053898713751,43.1821315033925,34.238609222321145
3300,38.71053447063821,43.15874606723395,34.261978015043326
3400,38.710529872180416,43.13204112692466,34.288666405345225
3500,38.71052519519429,43.1020366106805,34.31865447735271
3600,38.71052044317321,43.123865782363055,34.29713000735279
3700,38.710515619660384,43.15150865085303,34.2694706181195
3800,38.71051072825287,43.175837416023796,34.24512523520457
3900,38.710505772606155,43.1968339228323,34.224112026049056
4000,38.71050075641659,43.214482502904104,34.20644667149713
4100,38.71049568342545,43.22876998620251,34.192142354099985
4200,38.710490557420314,43.23968571087721,34.18120974827286
4300,38.71048538222715,43.2472215311995,34.173657012335184
4400,38.710480161707835,43.251371823661145,34.169489782423454
4500,38.7104748997553,43.252133491158304,34.168711168279685
4600,38.71046960029736,43.2495059653059,34.171321750935874
