year;mean_C_degC;max_C_degC;min_C_degC
100;-37.27788592232935;55.93766594786882;-130.49351366098952
200;-37.27788597944266;55.95892318558117;-130.51477129973193
300;-37.27788603596062;55.980260211278846;-130.53610872225576
400;-37.27788609187027;56.00167618261287;-130.55752508619616
500;-37.277886147184745;56.02317025411679;-130.5790195460717
600;-37.27788620189256;56.04474157724178;-130.6005912533177
700;-37.27788625599328;56.06638930038861;-130.6222393563201
800;-37.27788630948825;56.08811256894313;-130.64396300044902
900;-37.277886362338904;56.10991052530727;-130.66576132809257
1000;-37.27788641462246;56.13178230893476;-130.68763347868972
1100;-37.27788646627232;56.15372705636577;-130.70957858876505
1200;-37.27788651728591;56.17574390125884;-130.73159579196397
1300;-37.27788656771125;56.197831974426265;-130.75368421908456
1400;-37.27788661749;56.219990403869815;-130.7758429981143
1500;-37.27788666666581;56.24221831481202;-130.79807125426078
1600;-37.27788671518218;56.26451482973215;-130.82036810999145
1700;-37.27788676310112;56.286879068402754;-130.84273268506553
1800;-37.27788681039365;56.309310147922815;-130.86516409656628
1900;-37.277886857021;56.33180718275008;-130.88766145894076
2000;-37.27788690304544;56.35436928474087;-130.91022388403246
2100;-37.277886948425476;56.376995563183016;-130.93285048111383
2200;-37.27788699315977;56.39968512482807;-130.95554035692638
2300;-37.27788703727322;56.42243707393175;-130.97829261571349
2400;-37.27788708073703;56.44525051228692;-131.0011063592533
2500;-37.27788712354982;56.46812453925651;-131.02398068689905
2600;-37.2778871657367;56.49105825181391;-131.04691469561237
2700;-37.27788720728111;56.51405074457455;-131.06990747999365
2800;-37.27788724819098;56.53710110983582;-131.09295813233467
2900;-37.277887288402525;56.56020843760797;-131.11606574262922
3000;-37.27788732797421;56.58337181565321;-131.13922939863014
3100;-37.27788736689763;56.60659032952111;-131.16244818587595
3200;-37.27788740520256;56.62986306258637;-131.1857211877287
3300;-37.27788744282793;56.65318909607754;-131.20904748541008
3400;-37.277887479821516;56.67656750912471;-131.2324261580397
3500;-37.277887516107654;56.69999737878817;-131.25585628266387
3600;-37.27788755174504;56.72347778009663;-131.27933693430325
3700;-37.27788758672526;56.747007786084225;-131.3028671859819
3800;-37.27788762107832;56.77058646782842;-131.32644610876585
3900;-37.27788765474335;56.794212894479415;-131.3500727717995
4000;-37.27788768776824;56.81788613330832;-131.3737462423446
4100;-37.27788772006684;56.841605249736176;-131.39746558580924
4200;-37.27788775172942;56.86536930737287;-131.4212298657963
4300;-37.27788778275212;56.88917736805405;-131.44503814413267
4400;-37.2778878130554;56.91302849188031;-131.46888948090825
4500;-37.277887842712175;56.93692173724605;-131.49278293451314
4600;-37.27788787168609;56.96085616088902;-131.51671756167673
4700;-37.277887899997154;56.984830817918976;-131.54069241749693
4800;-37.27788792764386;57.00884476185752;-131.56470655548944
4900;-37.27788795462956;57.03289704467534;-131.5887590276172
5000;-37.27788798088912;57.0569867168316;-131.6128488843298
5100;-37.277888006495544;57.08111282730306;-131.63697517460096
5200;-37.27788803141266;57.105274423634285;-131.66113694596817
5300;-37.277888055603626;57.129470551970996;-131.68533324456382
5400;-37.277888079170765;57.15370025708313;-131.70956311515764
5500;-37.277888102113934;57.177962582427654;-131.73382560120217
5600;-37.277888124317;57.20225657016937;-131.7581197448473
5700;-37.27788814591443;57.22658126122343;-131.78244458700613
5800;-37.27788816674979;57.250935695292526;-131.80679916737557
5900;-37.27788818689979;57.27531891090979;-131.83118252447852
6000;-37.277888206364196;57.29972994545881;-131.85559369570174
6100;-37.27788822506318;57.32416783523803;-131.88003171733405
6200;-37.27788824315357;57.34863161548151;-131.90449562460412
6300;-37.27788826049846;57.373120320401085;-131.92898445171883
6400;-37.27788827721204;57.39763298322458;-131.95349723190122
