year,mean_C_degC,max_C_degC,min_C_degC
100,-39.84909142920412,-8.986938995890341,-70.71122195668997
200,-39.849092179476344,-8.987853002874772,-70.7103109679353
300,-39.84909293035744,-8.989375960848406,-70.70879108056255
400,-39.8490936810108,-8.991518087325062,-70.70665207448391
500,-39.849094430601696,-8.994289076427208,-70.7038842529156
600,-39.849095178281544,-8.997698080476482,-70.70047846080266
700,-39.8490959231774,-9.001753692074487,-70.69642610265421
800,-39.84909666444685,-9.006463926637764,-70.69171916019536
900,-39.849097401161174,-9.011836205325949,-70.68635020914769
1000,-39.849098132499165,-9.017877338695087,-70.68031243597235
1100,-39.84909885754516,-9.024593510526017,-70.67359965367422
1200,-39.84909957538562,-9.031990262550607,-70.6662063172399
1300,-39.84910028515904,-9.040072479626247,-70.65812753854098
1400,-39.849100985936616,-9.048844375381861,-70.64935910050792
1500,-39.84910167684771,-9.058309478785588,-70.63989747080839
1600,-39.84910235694781,-9.0684706209355,-70.62973981471413
1700,-39.84910302537128,-9.079329922954116,-70.61888400756072
1800,-39.84910368121811,-9.090888784319759,-70.60732864630816
1900,-39.849104323546925,-9.103147871808915,-70.59507306036264
2000,-39.84910495150993,-9.116107109483607,-70.58211732198791
2100,-39.84910556419746,-9.129765669151709,-70.56846225560963
2200,-39.849106160729775,-9.144121961642554,-70.55410944658976
2300,-39.84910674022862,-9.15917362892668,-70.53906124902448
2400,-39.84910730182159,-9.174917536910982,-70.52332079313581
2500,-39.84910784464935,-9.19134976924471,-70.50689199140982
2600,-39.84910836786551,-9.208465621693279,-70.48977954405254
2700,-39.84910887063265,-9.22625959747188,-70.47198894392764
2800,-39.849109352112606,-9.244725403496602,-70.45352648008071
2900,-39.84910981146993,-9.26385594726355,-70.43439924099386
3000,-39.849110247927456,-9.283643335045213,-70.41461511648032
3100,-39.849110660697676,-9.304078870314015,-70.39418279897632
3200,-39.849111049031734,-9.325153053601866,-70.3731117840089
3300,-39.84911141215733,-9.3468555830259,-70.351412369365
3400,-39.84911174933998,-9.369175355786012,-70.32909565388223
3500,-39.84911205984349,-9.392100470395178,-70.30617353502095
3600,-39.84911234299537,-9.41561823026177,-70.28265870549694
3700,-39.84911259812148,-9.439715147549464,-70.2585646491321
3800,-39.84911282459177,-9.464376948486517,-70.2339056358525
3900,-39.84911302175507,-9.489588579368501,-70.20869671538736
4000,-39.84911318901115,-9.51533421357891,-70.18295371055373
4100,-39.84911332574282,-9.541597259329876,-70.15669320926659
4200,-39.84911343146578,-9.568360368758817,-70.1299325557849
4300,-39.84911350563257,-9.595605447304024,-70.10268984090328
4400,-39.84911354771873,-9.6233136646037,-70.07498389128918
4500,-39.84911355725049,-9.651465465959632,-70.04683425798223
4600,-39.8491135338206,-9.680040584815004,-70.01826120408552
4700,-39.84911347699719,-9.709018056242087,-69.98928569111405
4800,-39.84911338642439,-9.738376230988706,-69.95992936495094
4900,-39.849113261735255,-9.768092790661854,-69.93021454064947
5000,-39.8491131025952,-9.79814476388458,-69.9001641863291
5100,-39.84911290871614,-9.828508543046382,-69.86980190639636
5200,-39.849112679881955,-9.859159902076158,-69.8391519239513
5300,-39.849112415850726,-9.890074015117534,-69.80823906205069
5400,-39.849112116457235,-9.921225475654126,-69.77708872411719
5500,-39.84911178158879,-9.952588316982713,-69.74572687424197
5600,-39.84911141101756,-9.984136032939546,-69.71418001579124
5700,-39.84911100482148,-10.01584160008315,-69.68247516992844
5800,-39.84911056279745,-10.047677499641964,-69.65063985273352
5900,-39.849110085044344,-10.079615741396537,-69.61870205231492
6000,-39.849109571565805,-10.11162788728052,-69.58669020448332
6100,-39.849109022376496,-10.143685076043766,-69.55463316827303
6200,-39.849108437726585,-10.175758049234844,-69.52256020061392
6300,-39.849107817648445,-10.207817176280287,-69.49050093004564
6400,-39.84910716240529,-10.23983248180815,-69.45848533034018
6500,-39.84910647221918,-10.271773672741801,-69.42654369316725
6600,-39.8491057472379,-10.303610166034673,-69.3947065998677
6700,-39.84910498789557,-10.335311117356184,-69.36300489375336
6800,-39.849104194399274,-10.366845449685343,-69.33146965061277
6900,-39.849103367275916,-10.398181883168263,-69.30013214960152
7000,-39.84910250677976,-10.42928896449132,-69.26902384297466
7100,-39.84910161346417,-10.460135097821876,-69.2381763261125
7200,-39.84910068778956,-10.490688575226727,-69.2076213063875
7300,-39.84909973023284,-10.52091760780553,-69.17739057221931
7400,-39.84909874149605,-10.550790357811934,-69.1475159615776
7500,-39.8490977220728,-10.580274969586583,-69.11802932987948
7600,-39.849096672678684,-10.60933960233126,-69.08896251812797
7700,-39.849095593995884,-10.637952462370947,-69.06034732043909
7800,-39.849094486618014,-10.666081835654666,-69.0322154509999
7900,-39.849093351439365,-10.693696120875074,-69.0045985120025
8000,-39.849092189110365,-10.720763862078456,-68.97752796006387
8100,-39.84909100058837,-10.747253782224277,-68.95103507340204
8200,-39.84908978658589,-10.773134815788524,-68.9251509184833
8300,-39.849088548032256,-10.798376142783809,-68.89990631659819
8400,-39.849087285955676,-10.822947221582183,-68.87533181111945
8500,-39.84908600121216,-10.846817822053708,-68.85145763361066
8600,-39.849084694826246,-10.869958059183205,-68.82831367097302
8700,-39.84908336777815,-10.892338425997423,-68.80592943210837
8800,-39.84908202108616,-10.913929826535764,-68.78433401499203
8900,-39.849080655928645,-10.934703609122153,-68.76355607381768
9000,-39.84907927334402,-10.954631598443655,-68.74362378624093
9100,-39.84907787457266,-10.973686128515624,-68.72456482103001
9200,-39.84907646062382,-10.99184007439328,-68.70640630581454
9300,-39.84907503270577,-11.009066884511924,-68.6891747949611
9400,-39.8490735920559,-11.02534061206427,-68.67289623849604
9500,-39.849072139829644,-11.040635946065322,-68.65759595046467
9600,-39.849070677454705,-11.054928242520475,-68.64329857868879
9700,-39.84906920609089,-11.068193554170648,-68.63002807373326
9800,-39.849067727072196,-11.080408660870376,-68.61780765952341
9900,-39.84906624169261,-11.091551098697664,-68.60665980379034
10000,-39.8490647512067,-11.101599188749162,-68.59660618931741
10100,-39.84906325712106,-11.11053206574013,-68.58766768573841
10200,-39.84906176071456,-11.118329705064752,-68.57986432180584
10300,-39.84906026347713,-11.124972950247525,-68.57321525856352
10400,-39.84905876665093,-11.130443538814575,-68.567738762917
10500,-39.84905727153554,-11.134724128193398,-68.563452181721
10600,-39.84905577991765,-11.137798320902561,-68.56037191801539
10700,-39.8490542927988,-11.139650687734388,-68.55851340504452
10800,-39.84905281205582,-11.14026679194069,-68.55789108554359
10900,-39.84905133870629,-11.139633211063426,-68.55851838610587
11000,-39.84904987448746,-11.137737558818856,-68.56040769911914
11100,-39.84904842077529,-11.134568506098333,-68.56357035855007
11200,-39.84904697874518,-11.130115799686223,-68.56801662288353
11300,-39.84904555030474,-11.124370283049643,-68.57375565463948
11400,-39.849044136306446,-11.117323911706308,-68.580795503156
11500,-39.849042739025464,-11.108969773124556,-68.58914308797236
11600,-39.849041358942486,-11.099302099226179,-68.59880418138431
11700,-39.84903999849314,-11.088316284851032,-68.60978339601172
11800,-39.84903865803804,-11.076008897909844,-68.62208416807039
11900,-39.84903733993136,-11.062377695636997,-68.6357087479308
12000,-39.849036044939,-11.04742163342604,-68.6506581849533
12100,-39.849034774969255,-11.031140877026019,-68.66693232058583
12200,-39.84903353112554,-11.013536811184508,-68.68452977546929
12300,-39.849032314576306,-10.994612047602686,-68.70344794398349
12400,-39.84903112714639,-10.974370433554498,-68.72368298552428
12500,-39.849029969593715,-10.952817055317496,-68.74522981931585
12600,-39.849028843992414,-10.929958245757973,-68.76808211984121
12700,-39.84902775076094,-10.905801584656388,-68.79223231222704
12800,-39.84902669212104,-10.88035590433958,-68.81767157186712
12900,-39.84902566839921,-10.853631287304495,-68.84438982110174
13000,-39.84902468160499,-10.825639069435283,-68.87237573159629
13100,-39.84902373228374,-10.796391835271834,-68.90161672360011
13200,-39.84902282223399,-10.765903418534378,-68.93209897116341
13300,-39.84902195204086,-10.734188895570696,-68.9638074028492
13400,-39.849021123352514,-10.701264581905605,-68.99672571047344
13500,-39.84902033696335,-10.667148024964263,-69.03083635199621
13600,-39.849019593732805,-10.63185799621806,-69.06612056199145
13700,-39.849018895138556,-10.595414483756826,-69.10255835885536
13800,-39.84901824158109,-10.557838679652889,-69.14012855579517
13900,-39.84901763484814,-10.51915297149992,-69.17880877246083
14000,-39.84901707487552,-10.479380926363206,-69.21857544608491
14100,-39.849016563569165,-10.438547280481203,-69.25940384788726
14200,-39.84901610067041,-10.39667792041007,-69.30126809521028
14300,-39.84901568794109,-10.353799870256921,-69.34414117126761
14400,-39.849015325472436,-10.309941271209084,-69.38799493911068
14500,-39.84901501448928,-10.265131364530305,-69.43280016403895
14600,-39.84901475540309,-10.219400470784137,-69.47852653016935
14700,-39.84901454861111,-10.17277996840079,-69.52514266417859
14800,-39.84901439517091,-10.12530227297384,-69.57261615606703
14900,-39.849014295084345,-10.077000811338053,-69.62091358345057
15000,-39.84901424942669,-10.027909999698124,-69.67000053569151
15100,-39.84901425799691,-9.978065215323454,-69.7198416394366
15200,-39.84901432198615,-9.927502772300045,-69.77040058639881
15300,-39.84901444077403,-9.876259890894175,-69.82164015926679
15400,-39.84901461566642,-9.82437467201214,-69.873522263149
15500,-39.849014845903554,-9.771886063551733,-69.92600795244479
15600,-39.84901513254647,-9.718833833195959,-69.97905746521002
15700,-39.84901547508741,-9.66525853358047,-70.03263025129792
15800,-39.84901587417855,-9.61120147133488,-70.08668500899807
15900,-39.84901632953145,-9.556704672422939,-70.14117971502151
16000,-39.849016840949304,-9.501810847389265,-70.1960716621553
16100,-39.84901740883174,-9.446563357382331,-70.2513174928398
16200,-39.84901803244452,-9.391006175365646,-70.30687323632756
16300,-39.84901871248897,-9.33518385207509,-70.36269434603398
16400,-39.849019447733866,-9.279141474779692,-70.41873573568327
16500,-39.849020238906746,-9.222924631937246,-70.47495182072478
16600,-39.849021084740144,-9.166579371300827,-70.53129655442729
16700,-39.849021985534165,-9.11015216191771,-70.58772347033118
16800,-39.849022940399664,-9.053689852436719,-70.64418572126735
16900,-39.84902394926496,-8.99723963047046,-70.70063612163912
17000,-39.84902501131282,-8.940848980883004,-70.75702718770467
17100,-39.84902612594303,-8.884565643033113,-70.81331118121778
17200,-39.8490272926542,-8.828437569570156,-70.86944015070432
17300,-39.84902851045834,-8.772512881343914,-70.92536597558114
17400,-39.84902977903573,-8.716839826117905,-70.9810404091765
17500,-39.84903109711419,-8.661466733045415,-71.036415122172
17600,-39.84903246446632,-8.60644196963267,-71.0914417478389
17700,-39.84903387933409,-8.551813896372494,-71.14607192447639
17800,-39.849035341733355,-8.49763082378837,-71.20025734247776
17900,-39.8490368497005,-8.443940965604895,-71.25394978621247
18000,-39.84903840299771,-8.390792395869141,-71.30710118183916
18100,-39.84903999993489,-8.338233002545223,-71.35966363962982
18200,-39.849041639859394,-8.286310443293246,-71.41158950126069
18300,-39.849043321334165,-8.235072100221146,-71.46283138293867
18400,-39.84904504294994,-8.184565034321224,-71.51334222156842
18500,-39.849046803862876,-8.134835942301493,-71.56307531911636
18600,-39.849048602196234,-8.08593110933873,-71.61198438741204
18700,-39.84905043725928,-8.037896367279927,-71.66002359328144
18800,-39.8490523070125,-7.990777047908182,-71.70714760145208
18900,-39.84905421072085,-7.944617940470664,-71.75331162072936
19000,-39.84905614608715,-7.899463246674259,-71.79847144545906
19100,-39.84905811228998,-7.85535653860876,-71.84258350085511
19200,-39.84906010723395,-7.812340714397692,-71.88560488478586
19300,-39.84906212989131,-7.770457956897417,-71.9274934114641
19400,-39.84906417814898,-7.729749690536039,-71.96820765191035
19500,-39.84906625073123,-7.690256540244434,-72.00770697753006
19600,-39.84906834579786,-7.652018290781939,-72.04595159915385
19700,-39.8490704614679,-7.6150738452246856,-72.08290260886974
19800,-39.84907259641503,-7.5794611872258315,-72.11852201887186
19900,-39.84907474831178,-7.545217339352632,-72.15277280085414
20000,-39.849076916173544,-7.5123783278608585,-72.18561892474233
20100,-39.84907909724981,-7.480979142134515,-72.21702539457351
20200,-39.84908129071047,-7.451053700626289,-72.24695828772406
20300,-39.84908349369266,-7.422634812812248,-72.2753847878129
20400,-39.849085705197666,-7.395754146171612,-72.30227322255118
20500,-39.84908792273242,-7.37044219077103,-72.32759309520338
20600,-39.84909014487695,-7.346728227019639,-72.3513151197794
20700,-39.84909236945347,-7.3246402933540935,-72.37341125131769
20800,-39.849094594481386,-7.304205154777719,-72.39385471827765
20900,-39.84909681826002,-7.285448274285727,-72.41262005129681
21000,-39.8490990386575,-7.26839378241948,-72.42968311282411
21100,-39.849101253831805,-7.253064450642114,-72.44502112467526
21200,-39.849103462180466,-7.239481664764696,-72.45861269433678
21300,-39.849105660617084,-7.227665398411602,-72.47043784000601
21400,-39.84910784870712,-7.217634191279728,-72.48047801678464
21500,-39.849110023480534,-7.209405123593513,-72.48871613509579
21600,-39.84911218340429,-7.202993796541193,-72.4951365870906
21700,-39.849114326202454,-7.198414311224951,-72.4997252640081
21800,-39.84911645050582,-7.195679249693569,-72.50246957658635
21900,-39.849118553991076,-7.194799657432327,-72.50335847115736
22000,-39.84912063492334,-7.195785027299962,-72.5023824471873
22100,-39.84912269137848,-7.198643284983859,-72.49953357141001
22200,-39.849124720911135,-7.203380773597189,-72.49480549149578
22300,-39.84912672258531,-7.210002245837472,-72.48819344847746
22400,-39.84912869413145,-7.218510849183986,-72.47969428602718
22500,-39.84913063402223,-7.228908119224911,-72.46930646069023
22600,-39.849132539307334,-7.241193970638221,-72.457030048593
22700,-39.8491344098031,-7.255366693251915,-72.4428667539176
22800,-39.84913624275953,-7.271422944756637,-72.42681990890415
22900,-39.84913803687732,-7.289357749563351,-72.40889448182483
23000,-39.84913979001999,-7.309164496264714,-72.38909707559509
23100,-39.84914150104109,-7.330834937726934,-72.36743592954505
23200,-39.84914316788067,-7.354359192638128,-72.34392091628396
23300,-39.8491447891827,-7.379725748538533,-72.31856354057015
23400,-39.84914636360182,-7.406921466563915,-72.29137693345783
23500,-39.84914788860954,-7.4359315852879035,-72.26237584662573
23600,-39.84914936392909,-7.466739732724136,-72.23157664627948
23700,-39.849150787426794,-7.499327930843492,-72.19899730101196
23800,-39.849152158176054,-7.533676608885685,-72.16465737422104
23900,-39.84915347389247,-7.569764613922473,-72.12857801055515
24000,-39.849154734226744,-7.6075692258657455,-72.09078192264019
24100,-39.84915593737239,-7.647066171378924,-72.05129337574684
24200,-39.84915708233916,-7.6882296411711195,-72.01013817179745
24300,-39.8491581676617,-7.731032307902865,-71.9673436305348
24400,-39.84915919254237,-7.775445344965931,-71.92293857122439
24500,-39.84916015570627,-7.821438448891968,-71.87695328981084
24600,-39.84916105618791,-7.868979860487514,-71.8294195384648
24700,-39.84916189306844,-7.918036389147858,-71.78037050046515
24800,-39.84916266480374,-7.968573437957161,-71.72984076537398
24900,-39.84916337157654,-8.020555030530431,-71.67786630419965
25000,-39.849164011908755,-8.073943838257719,-71.62448443756483
25100,-39.8491645854715,-8.128701210399583,-71.56973381019088
25200,-39.84916509050379,-8.184787203400731,-71.51365435850033
25300,-39.849165527631044,-8.242160614576562,-71.4562872800812
25400,-39.8491658955553,-8.30077901326598,-71.39767499858175
25500,-39.84916619415711,-8.36059877642441,-71.33786113189225
25600,-39.849166422884196,-8.421575123732623,-71.2768904547413
25700,-39.849166580711085,-8.483662152536965,-71.21480886296663
25800,-39.849166668013396,-8.546812879499328,-71.15166333578674
25900,-39.84916668430404,-8.610979275733087,-71.08750189669027
26000,-39.849166629554446,-8.676112308431755,-71.0223735736356
26100,-39.84916650295324,-8.742161981336551,-70.9563283576359
26200,-39.849166305367135,-8.809077376948267,-70.88941716301017
26300,-39.84916603601292,-8.876806698836788,-70.82169178040323
26400,-39.84916569534519,-8.94529731641967,-70.75320483718986
26500,-39.84916528293044,-9.014495808084007,-70.68400975045421
26600,-39.849164799713066,-9.08434800855764,-70.6141606829375
26700,-39.84916424528845,-9.154799053272143,-70.54371249474303
26800,-39.849163620278006,-9.225793426699056,-70.47272069884204
26900,-39.849162924998694,-9.297275009855639,-70.40124141155968
27000,-39.84916215933973,-9.369187126811255,-70.32933130501956
27100,-39.84916132451386,-9.441472597478935,-70.25704755814041
27200,-39.849160420794306,-9.514073783442711,-70.18444780675608
27300,-39.84915944902181,-9.58693263994644,-70.11159009378403
27400,-39.84915840879833,-9.659990765245084,-70.03853281832906
27500,-39.84915730233902,-9.733189453549755,-69.96533468685118
27600,-39.84915612953026,-9.806469743889465,-69.89205465742799
27700,-39.849154891588086,-9.879772473606806,-69.81875189256789
27800,-39.84915358899255,-9.953038329390381,-69.74548570459612
