year,mean_C_degC,max_C_degC,min_C_degC
100,-37.27791960581723,55.918127551548366,-130.4738724592394
200,-37.27791934194386,55.91789243680381,-130.47362835784168
300,-37.27791902154516,55.915843049762145,-130.47156981510244
400,-37.27791864403727,55.91194631802853,-130.46766376607727
500,-37.277918208919715,55.906170688314376,-130.46187866521964
600,-37.27791771572731,55.898486183705074,-130.45418454363696
700,-37.27791716406614,55.88886445971201,-130.44455306514226
800,-37.27791655360625,55.87727885903672,-130.4329575810074
900,-37.27791588403997,55.86370446496829,-130.41937318335744
1000,-37.277915155239526,55.84811815334035,-130.4037767571158
1100,-37.277914366998516,55.83049864296902,-130.38614703043785
1200,-37.27791351923952,55.810826544506426,-130.36646462355696
1300,-37.27791261200218,55.78908440762723,-130.34471209595625
1400,-37.277911645287645,55.765256766488164,-130.32087399182657
1500,-37.27791061926612,55.73933018339329,-130.29493688371412
1600,-37.27790953407771,55.7112932905589,-130.266889414299
1700,-37.27790839004754,55.68113683000195,-130.23672233623543
1800,-37.27790718748054,55.648853691383465,-130.2044285500122
1900,-37.27790592674228,55.61443894780734,-130.1700031397419
2000,-37.27790460836772,55.57788988951364,-130.1334434068314
2100,-37.27790323286004,55.539206055380475,-130.09474890147212
2200,-37.277901800833064,55.49838926219377,-130.05392145191445
2300,-37.27790031299537,55.45544363164697,-130.01096519144065
2400,-37.277898770073534,55.41037561498962,-129.96588658299999
2500,-37.277897172892864,55.363194015288514,-129.9186944414762
2600,-37.27789552237337,55.31391000727575,-129.8693999535055
2700,-37.27789381946434,55.26253715470773,-129.8180166948202
2800,-37.277892065209016,55.209091425180304,-129.76456064508378
2900,-37.277890260648434,55.15359120247683,-129.7090502001737
3000,-37.277888407013194,55.096057296190736,-129.65150618183696
3100,-37.27788650553666,55.036512948869074,-129.5919518447986
3200,-37.27788455755456,54.97498384036135,-129.5304128810963
3300,-37.277882564382054,54.91149808960546,-129.46691742187306
3400,-37.277880527506255,54.84608625360704,-129.4014960363181
3500,-37.27787844835737,54.77878132379084,-129.33418172800404
3600,-37.27787632856143,54.70961871947458,-129.26500992837245
3700,-37.277874169740244,54.63863627872939,-129.19401848756027
3800,-37.277871973618204,54.56587424631016,-129.12124766231562
3900,-37.27786974188575,54.49137525893292,-129.04674010128332
4000,-37.27786747640195,54.41518432764923,-128.970540827338
4100,-37.27786517895106,54.33734881753594,-128.8926972172595
4200,-37.277862851545905,54.25791842444613,-128.81325897849763
4300,-37.27786049616191,54.17694514913131,-128.73227812325817
4400,-37.27785811475346,54.09448326841925,-128.6498089396668
4500,-37.27785570947313,54.01058930369243,-128.56590796025645
4600,-37.277853282417965,53.925321986659185,-128.4806339276963
4700,-37.27785083578735,53.83874222220453,-128.39404775762793
4800,-37.27784837180141,53.750913048706366,-128.30621249899795
4900,-37.27784589273463,53.66189959545551,-128.21719329144057
5000,-37.277843400833746,53.57176903757954,-128.1270573201884
5100,-37.27784089851582,53.48059054809795,-128.0358737681381
5200,-37.277838388132864,53.3884352475971,-127.94371376548247
5300,-37.27783587207091,53.29537615108279,-127.85065033654391
5400,-37.277833352880634,53.201488112427626,-127.75675834426369
5500,-37.27783083304635,53.106847766291025,-127.66211443206083
5600,-37.27782831496708,53.0115334675142,-127.56679696319702
5700,-37.27782580130801,52.91562522816764,-127.47088595787864
5800,-37.277823294481806,52.81920465210095,-127.37446302774646
5900,-37.277820797140265,52.72235486742346,-127.27761130834469
6000,-37.27781831188369,52.62516045643156,-127.18041538908591
6100,-37.27781584124543,52.52770738359709,-127.08296124115543
6200,-37.277813388004915,52.430082921157634,-126.98533614313999
6300,-37.277810954666364,52.33237557292432,-126.88762860481307
6400,-37.2778085439808,52.23467499586337,-126.78992828870653
6500,-37.27780615858981,52.13707191974362,-126.69232592974868
6600,-37.277803800997276,52.03965806512349,-126.59491325324205
