year,mean_C_degC,max_C_degC,min_C_degC
100,-3.3655824635345084,21.872607254684397,-28.603788144342815
200,-3.3655833811511684,21.873146097691233,-28.604331822202283
300,-3.365584326836938,21.872708408966616,-28.603899062826827
400,-3.36558529999121,21.87127568394243,-28.602471357690774
500,-3.3655862999842725,21.86883022491321,-28.60003100497667
600,-3.365587326143725,21.865355172567433,-28.59656114112107
700,-3.3655883777456665,21.860834536838126,-28.592045771596503
800,-3.3655894540594886,21.855253227078833,-28.58646980124314
900,-3.3655905542512414,21.84859708159655,-28.579819063564486
1000,-3.365591677542568,21.840852896244996,-28.57208034964586
1100,-3.365592823045688,21.832008452508205,-28.56324143594253
1200,-3.3655939898404768,21.822052544467113,-28.55329111137766
1300,-3.365595177016644,21.810975004987654,-28.542219203599444
1400,-3.3655963835768716,21.79876673109561,-28.530016604212904
1500,-3.3655976085356087,21.785419708157804,-28.516675293156425
1600,-3.365598850816184,21.770927033401847,-28.502188361955007
1700,-3.3656001093705186,21.75528293806019,-28.486550036145758
1800,-3.3656013830910183,21.73848280864206,-28.46975569647242
1900,-3.365602670802332,21.72052320718973,-28.45180189894782
2000,-3.365603971371172,21.701401890138982,-28.432686394039592
2100,-3.3656052835829087,21.68111782623049,-28.412408144400274
2200,-3.3656066062128502,21.659671213187778,-28.390967341582126
2300,-3.365607938005553,21.63706349310985,-28.368365421368765
2400,-3.3656092776778905,21.61329736670666,-28.34460507816479
2500,-3.3656106239249652,21.588376806090082,-28.319690277744655
2600,-3.3656119754212455,21.562307066461642,-28.293626268805298
2700,-3.365613330816757,21.535094696369526,-28.266419593446386
2800,-3.3656146887304885,21.506747546553072,-28.238078095837693
2900,-3.3656160477524395,21.477274777601963,-28.20861092998672
3000,-3.365617406491083,21.446686865848505,-28.178028565712395
3100,-3.365618763518057,21.414995608378604,-28.146342793427948
3200,-3.365620117404717,21.38221412617071,-28.113566727543315
3300,-3.36562146667751,21.34835686595744,-28.079714808091666
3400,-3.3656228098653287,21.31343960058672,-28.044802801320202
3500,-3.3656241454694396,21.277479428029494,-28.008847798547777
3600,-3.365625472014983,21.240494768569647,-27.97186821352443
3700,-3.365626788004249,21.202505360987004,-27.93388377839989
3800,-3.3656280919476558,21.163532256835765,-27.89491553823305
3900,-3.365629382315717,21.123597813380627,-27.85498584370839
4000,-3.3656306575969666,21.08272568494391,-27.81411834272086
4100,-3.365631916246059,21.040940812901113,-27.772337970185987
4200,-3.365633156803426,20.998269413805417,-27.72967093643635
4300,-3.3656343777364555,20.954738966513503,-27.686144714000307
4400,-3.3656355775160023,20.910378197293767,-27.641788022917694
4500,-3.365636754633954,20.86521706371991,-27.5966308145924
4600,-3.3656379076207372,20.819286736953075,-27.55070425422778
4700,-3.3656390349686376,20.77261958245259,-27.504040701392114
4800,-3.3656401352180865,20.725249139447158,-27.456673689511632
4900,-3.3656412068870623,20.67721009873759,-27.408637903661685
5000,-3.365642248508209,20.628538278940937,-27.359969156854532
5100,-3.365643258639807,20.57927060151968,-27.310704365049446
5200,-3.3656442358894196,20.52944506420215,-27.26088152072589
5300,-3.3656451788319828,20.479100712983154,-27.210539664822306
5400,-3.365646086102572,20.42827761296911,-27.159718857243092
5500,-3.365646956366561,20.377016817463073,-27.108460146534867
5600,-3.3656477881967817,20.32536033610762,-27.05680553751472
5700,-3.3656485804052636,20.273351101148762,-27.00479795810668
5800,-3.3656493315763214,20.221032933213166,-26.95248122436351
5900,-3.3656500405382417,20.168450504825557,-26.8999000047948
6000,-3.3656507060406398,20.115649303510736,-26.84709978287887
6100,-3.365651326846603,20.062675593371523,-26.794126818809133
6200,-3.3656519019086204,20.009576374992037,-26.741028109901038
6300,-3.3656524300112096,19.956399345402417,-26.687851349615443
6400,-3.365652910130791,19.903192855679833,-26.634644885916117
6500,-3.3656533412125214,19.850005868138794,-26.581457678247745
6600,-3.365653722163131,19.796887912417844,-26.52833925328281
6700,-3.365654052115417,19.74388904027728,-26.47533966044358
6800,-3.365654330040684,19.691059779917282,-26.42250942555708
6900,-3.3656545551741033,19.638451088808267,-26.369899504252942
7000,-3.365654726549508,19.58611430638007,-26.317561233960674
7100,-3.365654843455843,19.534101105024604,-26.265546285677402
7200,-3.365654905121744,19.482463441047173,-26.213906614346115
7300,-3.365654910814783,19.43125350463623,-26.162694409000977
7400,-3.3656548599913094,19.380523668670833,-26.11196204202909
7500,-3.365654751971647,19.33032643803614,-26.061762017604934
7600,-3.365654586271205,19.280714397204974,-26.012146919975862
7700,-3.365654362401301,19.231740157852926,-25.963169360902583
7800,-3.365654079836588,19.183456305994184,-25.91488192640375
7900,-3.3656537383068894,19.135915348371668,-25.86733712393277
8000,-3.365653337378774,19.08916965900727,-25.820587328193113
8100,-3.3656528768952967,19.043271424762736,-25.77468472727881
8200,-3.36565235653012,18.998272591496345,-25.729681268227324
8300,-3.3656517761671125,18.95422480891648,-25.685628602369093
8400,-3.36565113579087,18.911179376296502,-25.642578031066847
8500,-3.365650435288842,18.869187187777072,-25.600580450460228
8600,-3.3656496747187816,18.82829867726457,-25.55968629695991
8700,-3.365648854134861,18.78856376381981,-25.519945492296756
8800,-3.3656479736652614,18.750031797008262,-25.481407388935935
8900,-3.3656470335916993,18.712751502030642,-25.44412071549226
9000,-3.365646034133704,18.676770925830738,-25.408133522348976
9100,-3.3656449757019686,18.642137382598662,-25.373493127609322
9200,-3.365643858572696,18.60889740037851,-25.340246063304164
9300,-3.365642683219164,18.577096667309718,-25.308438021797997
9400,-3.365641450176952,18.546779978803784,-25.278113803185647
9500,-3.36564015996413,18.517991185180733,-25.249317262492923
9600,-3.3656388133506425,18.490773139456792,-25.222091258168064
9700,-3.3656374109465332,18.46516764649556,-25.196477600248357
9800,-3.3656359535429488,18.44121541198075,-25.172517000092967
9900,-3.3656344419412676,18.418955992721408,-25.150249020343296
10000,-3.3656328769688457,18.39842774752867,-25.129712025836852
10100,-3.3656312596847897,18.379667788674396,-25.110943135354717
10200,-3.3656295910256517,18.362711934927006,-25.093978174155467
10300,-3.365627872136031,18.3475946647892,-25.07885162767903
10400,-3.365626104022283,18.33434907138968,-25.065596596014927
10500,-3.365624287784726,18.323006817905878,-25.054244749311977
10600,-3.3656224249331217,18.313598094069846,-25.044826285358113
10700,-3.365620516446654,18.306151574771377,-25.037369886069484
10800,-3.3656185640036824,18.30069437854786,-25.031902678591592
10900,-3.3656165686921895,18.29725202841172,-25.028450193270203
11000,-3.365614532185134,18.295848413447402,-25.027036328099143
11100,-3.3656124559402656,18.2965057516264,-25.027683309150603
11200,-3.3656103413047163,18.299244555141684,-25.030411657090667
11300,-3.3656081902419714,18.304083594960616,-25.035240152048488
11400,-3.3656060039483577,18.31103987016718,-25.04218580144925
11500,-3.365603784763721,18.320128574695502,-25.051263809342004
11600,-3.3656015337115264,18.331363070571456,-25.062487545804174
11700,-3.3655992533413723,18.344754857335204,-25.075868520980833
11800,-3.3655969446868426,18.360313548753425,-25.091416356784578
11900,-3.365594610323626,18.378046845742347,-25.109138764972812
12000,-3.3655922516985015,18.39796051575115,-25.12904152178598
12100,-3.3655898711375016,18.420058370733727,-25.1511284498186
12200,-3.36558747044279,18.444342248454973,-25.17540139624603
12300,-3.3655850514657573,18.470811995589713,-25.201860217626376
12400,-3.3655826166476004,18.49946545106428,-25.230502763383868
12500,-3.36558016761893,18.53029843448286,-25.26132486264902
12600,-3.365577707091518,18.563304732284564,-25.294320312946155
12700,-3.3655752365406784,18.59847609056044,-25.329480869540703
12800,-3.365572758862413,18.635802204787012,-25.36679623931326
12900,-3.365570275550283,18.675270716745615,-25.4062540732221
13000,-3.365567789410875,18.716867208225665,-25.44783996435649
13100,-3.3655653021958187,18.76057520179438,-25.491537444478354
13200,-3.3655628166163183,18.80637615882324,-25.537327986402346
13300,-3.3655603345408736,18.85424948368137,-25.585191003835092
13400,-3.36555785862771,18.904172527035485,-25.635103858519727
13500,-3.365555390992938,18.95612059276681,-25.687041864068675
13600,-3.3655529337460734,19.010066946820984,-25.740978296439323
13700,-3.365550489588884,19.065982826457343,-25.79688440344094
13800,-3.365548060349397,19.123837454948898,-25.854729417724485
13900,-3.365545649021385,19.18359805381749,-25.914480571875004
14000,-3.3655432571545134,19.24522986234581,-25.976103113767778
14100,-3.365540887867553,19.308696153523726,-26.039560327499146
14200,-3.3655385426291673,19.373958257769914,-26.104813551717086
14300,-3.365536224467519,19.44097558310426,-26.171822205262288
14400,-3.3655339351992666,19.50970564213361,-26.240543809207736
14500,-3.365531677467345,19.58010407782632,-26.31093401658751
14600,-3.365529453386955,19.652124692777477,-26.38294663870093
14700,-3.3655272649872927,19.725719480578903,-26.456533677891485
14800,-3.365525114923855,19.800838657160284,-26.531645359379382
14900,-3.365523004947704,19.877430697700675,-26.60823016640711
15000,-3.365520937751512,19.955442370963908,-26.686234876817764
15100,-3.3655189149745297,20.034818780078695,-26.765604601241222
15200,-3.365516939400493,20.115503400834996,-26.84628282450049
15300,-3.3655150123676094,20.197438126158318,-26.928211446071856
15400,-3.3655131367698914,20.280563307425894,-27.011330826340554
15500,-3.3655113138501633,20.364817803188032,-27.095579829678798
15600,-3.3655095462805775,20.45013902377474,-27.18089587487063
15700,-3.365507835555377,20.536462982583828,-27.267214981173794
15800,-3.3655061840041753,20.62372434565941,-27.354471822131956
15900,-3.3655045933039105,20.711856484485395,-27.44259977501156
16000,-3.3655030650951403,20.800791530298852,-27.53153097698123
16100,-3.3655016015961223,20.89046042804432,-27.621196379260027
16200,-3.3655002040066506,20.980792995474758,-27.71152580434085
16300,-3.365498874762352,21.071717978730874,-27.802448004790932
16400,-3.3654976146807485,21.16316311487867,-27.893890721213268
16500,-3.3654964261597797,21.255055190147687,-27.98578074569167
16600,-3.365495309979906,21.347320104210155,-28.07804398120075
16700,-3.3654942681476996,21.43988293205831,-28.170605507146234
16800,-3.3654933017371604,21.53266798925233,-28.263389642525198
16900,-3.3654924124055583,21.6255988973719,-28.35632001249033
17000,-3.365491601253268,21.718598650305978,-28.449319613770655
17100,-3.36549086946809,21.81158968255272,-28.542310883373005
17200,-3.3654902183554327,21.90449393628211,-28.635215766014852
17300,-3.365489648738958,21.997232932342797,-28.727955784010447
17400,-3.365489162015024,22.08972783843609,-28.820452107192295
17500,-3.3654887587213693,22.18189954135306,-28.9126256231186
17600,-3.365488440272884,22.273668717298733,-29.00439700952205
17700,-3.3654882067525023,22.36495590478006,-29.095686804470347
17800,-3.365488059708184,22.455681575566018,-29.186415481022635
17900,-3.365487998984463,22.54576620927662,-29.276503517435543
18000,-3.3654880258183653,22.635130364979545,-29.365871473023418
18100,-3.365488140249795,22.723694755636302,-29.454440059260065
18200,-3.3654883430729683,22.81138032142121,-29.542130215424606
18300,-3.365488634462622,22.89810830347085,-29.62886318088465
18400,-3.3654890144977685,22.983800318486942,-29.714560569861817
18500,-3.3654894837621896,23.068378431043755,-29.79914444512451
18600,-3.3654900418587204,23.15176522966209,-29.882537391592138
18700,-3.3654906893938232,23.23388389796554,-29.964662590690494
18800,-3.365491425762741,23.31465829034869,-30.04544389248923
18900,-3.365492251424257,23.394013003618284,-30.124805890677862
19000,-3.365493165465182,23.471873450920953,-30.202673993351254
19100,-3.365494168163025,23.548165933009273,-30.278974497132822
19200,-3.3654952586749687,23.622817711066602,-30.353634657774705
19300,-3.3654964369894174,23.695757077091002,-30.42658276255355
19400,-3.3654977021571426,23.76691342523884,-30.497748199430532
19500,-3.36549905384112,23.83621732143024,-30.5670615286177
19600,-3.365500491209332,23.903600572095,-30.63445455012871
19700,-3.3655020133008406,23.96899629339049,-30.699860373078025
19800,-3.365503619602407,24.032338976755682,-30.763213482376898
19900,-3.365505308651052,24.09356455756813,-30.824449805237435
20000,-3.3655070801091824,24.152610477511814,-30.883506776785225
20100,-3.3655089320487264,24.209415751444737,-30.940323402710106
20200,-3.365510864122257,24.263921027916524,-30.9948403243404
20300,-3.365512874195531,24.316068652589422,-31.046999877614212
20400,-3.365514961644635,24.365802726941695,-31.096746155908505
20500,-3.365517124534449,24.413069168153186,-31.144025066612784
20600,-3.365519361752149,24.457815765901046,-31.188784390334718
20700,-3.3655216715075085,24.499992238391542,-31.230973835338318
20800,-3.3655240520840266,24.539550286966232,-31.270545092800546
20900,-3.365526501986608,24.576443647571978,-31.307451888622353
21000,-3.3655290191862264,24.610628143131237,-31.341650034809277
21100,-3.3655316019419956,24.642061731651836,-31.373097478703215
21200,-3.3655342486576387,24.670704553535074,-31.401754350065346
21300,-3.3655369563509225,24.696518978328925,-31.42758300621992
21400,-3.365539724240591,24.719469646124935,-31.450548077553435
21500,-3.365542549297743,24.739523511437483,-31.470616505091556
21600,-3.365545429700717,24.75664988111305,-31.48775758450779
21700,-3.3655483629614764,24.770820452452483,-31.501943001070515
21800,-3.365551347266944,24.782009348784015,-31.51314686626111
21900,-3.365554379897617,24.79019315269875,-31.521345749875422
22000,-3.3655574585698673,24.79535093697598,-31.52651871221741
22100,-3.3655605807885536,24.797464293255416,-31.52864733248657
22200,-3.3655637436161783,24.7965173604141,-31.52771573574327
22300,-3.3655669453075916,24.79249684531436,-31.523710617472062
22400,-3.365570182893009,24.7853920487064,-31.51662126467329
22500,-3.36557345396119,24.775194882766584,-31.506439576584654
22600,-3.3655767548260656,24.761899889636084,-31.493160081174352
22700,-3.3655800841801806,24.745504254518096,-31.476779952289434
22800,-3.3655834384418313,24.72600782050432,-31.457299018134876
22900,-3.3655868151964796,24.70341309703946,-31.434719775526958
23000,-3.365590211220365,24.67772526840878,-31.409047395051914
23100,-3.365593624108726,24.648952198612164,-31.38028972759409
23200,-3.3655970506305835,24.61710443412852,-31.348457305752476
23300,-3.365600488150733,24.58219520402156,-31.313563345612835
23400,-3.3656039339496147,24.544240417432263,-31.275623743208797
23500,-3.3656073842608976,24.503258660710856,-31.234657070154043
23600,-3.3656108371039295,24.459271186404123,-31.190684567436307
23700,-3.365614288971642,24.41230190718545,-31.143730133303308
23800,-3.365617737341836,24.362377381388796,-31.093820313401864
23900,-3.365621178482513,24.309526799437663,-31.040984284768683
24000,-3.365624610255338,24.253781965502185,-30.985253838816476
24100,-3.365628029176321,24.195177278788435,-30.92666336144805
24200,-3.3656314324867935,24.133749710590735,-30.865249811373843
24300,-3.365634816987381,24.06953877988053,-30.801052694890018
24400,-3.3656381800702206,24.00258652669271,-30.734114039699705
24500,-3.3656415185820947,23.932937481634667,-30.664478363767387
24600,-3.365644829619839,23.860638634946838,-30.592192645274338
24700,-3.365648110283189,23.785739401790465,-30.517306287072643
24800,-3.3656513571970663,23.708291585607526,-30.43987108059119
24900,-3.3656545683599575,23.62834933918947,-30.359941168120855
25000,-3.3656577403872348,23.545969123920486,-30.27757299859809
25100,-3.3656608707636337,23.461209665747845,-30.19282528708237
25200,-3.365663955752723,23.37413191040929,-30.10575896769751
25300,-3.3656669936970047,23.284798973980855,-30.01643714680327
25400,-3.365669981254541,23.19327609478637,-29.92492505138881
25500,-3.3656729161018006,23.099630580010682,-29.831289979125472
25600,-3.365675795440268,23.003931752166466,-29.735601242542288
25700,-3.3656786161788546,22.906250894065806,-29.637930113867327
25800,-3.3656813762480624,22.80666118791055,-29.53834976669785
25900,-3.365684073014563,22.70523765818649,-29.436935216399434
26000,-3.3656867041851797,22.602057108587132,-29.33376325801845
26100,-3.3656892667850116,22.49719805878732,-29.22891240241259
26200,-3.365691759182596,22.390740678941768,-29.12246281257947
26300,-3.365694178417016,22.282766723160876,-29.014496233632343
26400,-3.3656965226123816,22.173359460024983,-28.905095927525025
26500,-3.3656987891549193,22.06260360374671,-28.794346600909762
26600,-3.3657009766002943,21.950585240868634,-28.682334334617053
26700,-3.3657030822847105,21.837391759113927,-28.569146508960074
26800,-3.365705104464155,21.723111771526135,-28.454871731500475
26900,-3.3657070411593963,21.607835041072462,-28.33959975983268
27000,-3.3657088902101577,21.491652405005368,-28.223421425389148
27100,-3.365710650345079,21.374655694118076,-28.106428554953
27200,-3.3657123196625207,21.256937656350203,-27.988713891813433
27300,-3.3657138966693196,21.138591875176076,-27.87037101539812
27400,-3.365715378948039,21.019712689328344,-27.751494260157614
27500,-3.365716766256412,20.900395109308022,-27.632178635105475
27600,-3.365718056504079,20.780734736837246,-27.51251973788291
27700,-3.3657192486778627,20.6608276798479,-27.392613674674067
27800,-3.3657203411092382,20.54077046943297,-27.272556974200086
27900,-3.365721333105114,20.420659974492423,-27.15244650426652
28000,-3.3657222233441644,20.300593317206847,-27.032379385762027
28100,-3.3657230110883916,20.180667787381594,-26.912452908139556
28200,-3.3657236954567793,20.060980756506808,-26.792764442973265
28300,-3.3657242751409626,19.941629593528205,-26.67341135828542
28400,-3.3657247500196377,19.822711575459948,-26.554490932772126
28500,-3.3657251192436206,19.704323804205274,-26.436100269024678
28600,-3.3657253825967928,19.58656311893401,-26.31833620804173
28700,-3.365725539042785,19.469526010856384,-26.201295242810147
28800,-3.3657255889041835,19.35330853658462,-26.085073432414305
28900,-3.365725531517171,19.23800623329487,-25.96976631648687
29000,-3.365725366937397,19.123714032851183,-25.855468830331375
29100,-3.3657250948765522,19.01052617737929,-25.742275219727105
29200,-3.365724715905287,18.898536134765493,-25.63027895719739
29300,-3.3657242297373955,18.7878365153465,-25.519572656885458
29400,-3.36572363671155,18.67851898846584,-25.410247993235686
29500,-3.365722937267833,18.57067420000959,-25.302395617541237
29600,-3.365722131252994,18.464391692184847,-25.196105076874005
29700,-3.3657212201089237,18.359759820364445,-25.091464734377496
29800,-3.365720203970625,18.256865676347388,-24.98856168745246
29900,-3.3657190837672033,18.15579500834974,-24.887481691287803
30000,-3.3657178596194512,18.056632144188484,-24.788309080684627
30100,-3.3657165331439387,17.959459914104627,-24.691126693835656
30200,-3.3657151050621223,17.864359577000812,-24.59601579768119
30300,-3.365713576655253,17.771410746245635,-24.503056014281412
30400,-3.3657119487963882,17.680691317869275,-24.41232524815277
30500,-3.3657102229086036,17.59227740015359,-24.32389961667701
30600,-3.3657084001566204,17.506243243659924,-24.237853379575228
30700,-3.365706482199073,17.422661174466043,-24.154258873275722
30800,-3.365704470600747,17.34160152846249,-24.073186443592107
30900,-3.36570236654012,17.263132587017253,-23.994704382152122
31000,-3.3657001722499444,17.187320515199474,-23.9188788652923
31100,-3.3656978890238065,17.11422930130226,-23.845773891479922
31200,-3.365695519114354,17.043920697991098,-23.77545122526982
31300,-3.3656930638186964,16.976454167035286,-23.70797033969629
31400,-3.365690525963089,16.911886823574036,-23.64338836250036
31500,-3.3656879070302352,16.85027338542966,-23.58176002273828
31600,-3.3656852093482144,16.791666121975652,-23.523137602459855
31700,-3.365682435157453,16.736114806237026,-23.46757088743547
31800,-3.365679586480212,16.68366667060957,-23.415107122450024
31900,-3.365676666092952,16.634366361263176,-23.365790967276183
32000,-3.3656736762342803,16.588255899138346,-23.31966445595748
32100,-3.3656706193590935,16.5453746408204,-23.276766958130395
32200,-3.3656674976666068,16.50575924169584,-23.23713514263335
32300,-3.365664314445894,16.469443622560618,-23.200802945004085
32400,-3.3656610719334594,16.436458938739463,-23.167801533648344
32500,-3.3656577730472463,16.406833550503848,-23.13815928332201
32600,-3.3656544200595704,16.380592998112263,-23.111901747714143
32700,-3.365651016314075,16.357759976319812,-23.089051636657615
32800,-3.3656475643305725,16.33835431495885,-23.069628793696467
32900,-3.3656440673314023,16.32239295889582,-23.053650179021957
33000,-3.3656405279950263,16.30988995443022,-23.041129852423296
33100,-3.365636949282475,16.300856433504634,-23.032078961487343
33200,-3.365633334245558,16.295300604892816,-23.026505728762487
33300,-3.3656296859475106,16.293227745542822,-23.024415446130803
33400,-3.365626007605613,16.294640195376587,-23.025810468590322
33500,-3.3656223020291804,16.29953735562833,-23.03069021152652
33600,-3.3656185726307513,16.307915687291143,-23.03905115119548
33700,-3.365614822300188,16.31976871575324,-23.050886827051443
33800,-3.3656110543369095,16.335087034770027,-23.06618784795407
33900,-3.36560727186594,16.353858315936805,-23.084941899479077
34000,-3.365603478116725,16.376067318386276,-23.107133756029754
34100,-3.365599676422505,16.40169590272569,-23.1327452926009
34200,-3.365595869836511,16.430723047440438,-23.161755501810916
34300,-3.365592061395887,16.463124868036687,-23.194140512658834
34400,-3.3655882544850897,16.498874636524874,-23.229873612663056
34500,-3.3655844524498093,16.537942807333934,-23.268925269621008
34600,-3.3655806584141033,16.58029704315868,-23.311263160179465
34700,-3.3655768755945132,16.62590224369734,-23.35685219799865
34800,-3.3655731069093804,16.674720578287918,-23.405654565314393
